Suburb,Address,Price,Bedrooms,Bathrooms,Parkings,Latitude,Longitude,Distance_to_CBD,Distance_to_station
haymarket,Level 18/178 Thomas Street HAYMARKET NSW 2000,1200,2,2,2,-33.88147,151.202652,976.1239264628482,673.602749353649
haymarket,303 Castlereagh Street HAYMARKET NSW 2000,1050,2,2,1,-33.8788261,151.208389,663.006309645275,67.36513289994001
haymarket,N8.06/33 Ultimo Road HAYMARKET NSW 2000,755,1,1,1,-33.88105,151.202438,939.2348683594875,669.9432876553427
haymarket,Level 32/2 Quay Street HAYMARKET NSW 2000,580,1,1,,-33.88017,151.203217,822.7621159729441,566.3378562363077
haymarket,S909/178 Thomas Street HAYMARKET NSW 2000,,2,2,1,-33.88147,151.202652,976.1239264628482,673.602749353649
haymarket,N905/33 Ultimo Road HAYMARKET NSW 2000,790,1,1,1,-33.88105,151.202438,939.2348683594875,669.9432876553427
haymarket,HAYMARKET NSW 2000,1450,2,2,1,-33.88092,151.202942,909.7067305480002,621.6281896338135
haymarket,178 Thomas st HAYMARKET NSW 2000,,2,2,,-33.88147,151.202652,976.1239264628482,673.602749353649
haymarket,1708/2 Quay Street HAYMARKET NSW 2000,1000,2,2,1,-33.88017,151.203217,822.7621159729441,566.3378562363077
haymarket,1 Steam Mill Lane HAYMARKET NSW 2000,1000,2,2,1,-33.87839,151.201309,731.1773476480992,711.657507925936
haymarket,416 Pitt HAYMARKET NSW 2000,1000,2,2,,-33.87893,151.207611,655.0616373002205,137.24276137685214
haymarket,S16.10/178 Thomas Street Street HAYMARKET NSW 2000,990,2,2,1,-33.88147,151.202652,976.1239264628482,673.602749353649
haymarket,2011/53 Tumbalong Boulevard HAYMARKET NSW 2000,990,2,2,1,-33.8784256,151.201965,699.229418529649,650.9164737470976
haymarket,2043/53 Tumbalong Boulevard HAYMARKET NSW 2000,850,1,1,1,-33.8784256,151.201965,699.229418529649,650.9164737470976
haymarket,1601/6 Little Hay Street HAYMARKET NSW 2000,760,1,1,,-33.8787,151.204071,643.2221675396912,456.590923379037
haymarket,803/6 Little Hay Street HAYMARKET NSW 2000,750,1,1,,-33.8787,151.204071,643.2221675396912,456.590923379037
haymarket,L26/91 Liverpool Street HAYMARKET NSW 2000,720,1,1,1,-33.8772736,151.2067,459.74769225386046,252.33149914692808
haymarket,2022/53 Tumbalong Boulevard HAYMARKET NSW 2000,720,1,1,,-33.8784256,151.201965,699.229418529649,650.9164737470976
haymarket,Lv 15/6 Little Hay St HAYMARKET NSW 2000,710,1,1,,-33.8787,151.204071,643.2221675396912,456.590923379037
haymarket,2706/2 Quay Street HAYMARKET NSW 2000,600,1,1,,-33.88078,151.2028,899.4186934303318,627.0656791237506
haymarket,Carspace 178 Thomas Street HAYMARKET NSW 2000,100,,,2,-33.8813362,151.203644,935.5603009868347,587.1916599226349
haymarket,810/178 Thomas Street HAYMARKET NSW 2000,1000,2,2,1,-33.88147,151.202652,976.1239264628482,673.602749353649
haymarket,N1206/33 Ultimo Road HAYMARKET NSW 2000,780,1,1,1,-33.88105,151.202438,939.2348683594875,669.9432876553427
haymarket,N8.09/33 ULTIMO ROAD HAYMARKET NSW 2000,715,1,1,,-33.881176,151.202484,950.762564882266,672.1518929177262
haymarket,N1509/33 Ultimo Rd HAYMARKET NSW 2000,695,1,1,,-33.88105,151.202438,939.2348683594875,669.9432876553427
burwood,273/1 Railway Parade BURWOOD NSW 2134,480,1,1,1,-33.8771,151.102463,9599.886727549343,133.03871116305993
burwood,28 Waimea Street BURWOOD NSW 2134,595,3,2,1,-33.877346,151.108475,9045.618410858131,424.9675232211168
burwood,316 Parramatta Road BURWOOD NSW 2134,600,2,2,1,-33.86996,151.107147,9163.806049058601,839.0992508693689
burwood,43/18-22 Victoria Street BURWOOD NSW 2134,,2,1,1,-33.8756027,151.107117,9163.429204976484,336.90765474113306
burwood,A801/27-31 Belmore Street BURWOOD NSW 2134,710,2,2,1,-33.87848,151.1022,9632.285955383373,225.3966029329295
burwood,18/28A-32 Belmore Street BURWOOD NSW 2134,,2,2,1,-33.8791237,151.102463,9612.61477266198,268.1968897054219
burwood,19/33 Wilga Street BURWOOD NSW 2134,580,2,2,1,-33.8736763,151.105286,9329.10186933776,392.7799736380931
burwood,21/22-24 Park Ave BURWOOD NSW 2134,560,2,1,,-33.8743668,151.1023,9606.09171841077,329.62065032232016
burwood,3/41 Railway Crescent BURWOOD NSW 2134,,2,1,1,-33.8756371,151.09964,9855.027281277642,422.8662388688965
burwood,17/25 Waimea Street BURWOOD NSW 2134,330,1,1,,-33.8765755,151.106,9270.462970894294,200.70188470364204
burwood,7/25 Waimea Street BURWOOD NSW 2134,330,1,1,,-33.8765755,151.106,9270.462970894294,200.70188470364204
burwood,14 Wyalong Street BURWOOD NSW 2134,240,,1,,-33.88051,151.107544,9156.040160461502,513.2200279981249
burwood,36-38 Victoria Street BURWOOD NSW 2134,750,2,1,1,-33.87544,151.10556,9306.921974956034,233.38123126822603
burwood,1905/2 Mary Street BURWOOD NSW 2134,750,2,2,1,-33.8764038,151.1046,9399.14465068542,94.51104040420628
burwood,5 Wilga Street BURWOOD NSW 2134,700,2,2,1,-33.87392,151.107132,9158.507057444225,456.0410109171749
burwood,1/17 Wilga Street BURWOOD NSW 2134,695,2,2,1,-33.8738441,151.106552,9212.097856108487,429.65923473387494
burwood,11/44 Belmore Street BURWOOD NSW 2134,670,2,1,1,-33.8789635,151.101242,9724.131192150306,326.67793909432453
burwood,22-24 Park Ave BURWOOD NSW 2134,580,2,1,,-33.8743668,151.1023,9606.09171841077,329.62065032232016
burwood,10A Wyalong Street BURWOOD NSW 2134,1275,5,3,2,-33.8806458,151.107925,9122.283503072764,547.992901143585
burwood,30 Nicholson BURWOOD NSW 2134,1000,4,2,1,-33.8824654,151.09877,9984.806500557666,767.8002139156631
burwood,1/3 Railway Pde BURWOOD NSW 2134,950,4,2,1,-33.877,151.101959,9645.97764862279,179.409676836557
burwood,45 Fitzroy Street BURWOOD NSW 2134,825,3,1,2,-33.8821754,151.108536,9083.026901370551,714.6726076039897
burwood,9/31  Gordon St BURWOOD NSW 2134,800,3,2,2,-33.87492,151.098862,9925.136625509898,521.0453230029691
burwood,7/28-32 Mount Pleasant Avenue BURWOOD NSW 2134,,3,2,2,-33.87441,151.0987,9939.200012906587,561.4888211526383
burwood,1D/42 Meryla St BURWOOD NSW 2134,760,2,2,1,-33.8774,151.104,9459.414209304121,42.89010676237598
burwood,4F/42 Meryla st BURWOOD NSW 2134,760,2,2,2,-33.873188,151.105316,9326.175907785384,445.12895275047936
burwood,602/1-3 Elizabeth Street BURWOOD NSW 2134,,2,2,1,-33.87858,151.105591,9319.867569368285,233.16770534525787
burwood,3B/42-44 Meryla Street BURWOOD NSW 2134,,2,2,1,-33.873188,151.105316,9326.175907785384,445.12895275047936
burwood,1E/42-44 Meryla Street BURWOOD NSW 2134,,2,2,1,-33.873188,151.105316,9326.175907785384,445.12895275047936
burwood,5E/42-44 Meryla Street BURWOOD NSW 2134,,2,2,1,-33.873188,151.105316,9326.175907785384,445.12895275047936
burwood,6-8 Stanley  Street BURWOOD NSW 2134,730,2,2,1,-33.8782234,151.09903,9923.398503010396,469.6491431294626
burwood,1B/26 Belmore Street BURWOOD NSW 2134,720,3,2,1,-33.8794823,151.104034,9470.46181782923,273.0982037746613
burwood,1G/42 Meryla ST BURWOOD NSW 2134,720,2,2,1,-33.873188,151.105316,9326.175907785384,445.12895275047936
burwood,702/3-7 Burwood Road BURWOOD NSW 2134,700,2,2,1,-33.8697624,151.104874,9374.823767746382,810.3712249396963
burwood,9A Rowley Street BURWOOD NSW 2134,,2,1,1,-33.8712158,151.098831,9928.629857930542,796.6542654093261
burwood,9 Norwood  Street BURWOOD NSW 2134,,4,1,1,-33.878746,151.097717,10048.062472921225,602.9441584435953
burwood,8/4-8 Wyatt Avenue BURWOOD NSW 2134,690,3,2,1,-33.88539,151.105072,9446.041048857145,934.4253416974153
burwood,B2068/1 Belmore Street BURWOOD NSW 2134,680,2,2,1,-33.87916,151.106461,9243.925076538477,335.29486448014643
burwood,10/60 Belmore Street BURWOOD NSW 2134,680,2,2,1,-33.87867,151.099869,9848.826197645516,415.12029497932923
burwood,37/26-28 Park Avenue BURWOOD NSW 2134,680,2,1,1,-33.87432,151.101974,9636.182470063399,348.6595236889514
burwood,206/65 Shaftesbury Road BURWOOD NSW 2134,650,2,2,1,-33.8783646,151.1066,9225.197409831528,290.93231427744513
burwood,Shop 2/3-7 Burwood Road BURWOOD NSW 2134,650,1,1,,-33.8697624,151.104874,9374.823767746382,810.3712249396963
burwood,64 Shaftesbury Road BURWOOD NSW 2134,650,3,1,,-33.8764,151.1076,9121.777836087665,349.39900802890406
burwood,2/5 Shaftsbury  Road BURWOOD NSW 2134,650,3,1,,-33.8700333,151.108185,9067.521048312567,870.8478160983664
burwood,6/316 Parramatta Road BURWOOD NSW 2134,620,2,2,1,-33.86996,151.107147,9163.806049058601,839.0992508693689
burwood,189/1 Railway Parade BURWOOD NSW 2134,620,2,1,1,-33.8771,151.102463,9599.886727549343,133.03871116305993
burwood,12/18-20 Grantham Street BURWOOD NSW 2134,600,2,2,2,-33.86956,151.1012,9715.39868683207,864.5938978086976
burwood,101/34 Willee Street BURWOOD NSW 2134,600,2,2,1,-33.8772,151.1049,9375.174314306541,94.76339609378343
burwood,77/28A-32 Belmore Street BURWOOD NSW 2134,,2,2,1,-33.8791237,151.102463,9612.61477266198,268.1968897054219
burwood,10/16 Railway Parade BURWOOD NSW 2134,560,2,1,1,-33.8780975,151.105377,9336.357796409744,181.47526605688668
burwood,8/3-13 Comer  Street BURWOOD NSW 2134,,2,1,1,-33.87184,151.104172,9433.226454015163,575.4354754994744
burwood,17/2-8 Park Avenue BURWOOD NSW 2134,,2,1,1,-33.8745232,151.103439,9500.972544393548,280.489335395787
burwood,4/92 Liverpool Rd Burwood Heights BURWOOD NSW 2134,530,2,2,2,-33.88853,151.102631,9724.398784288005,1281.7523177105093
burwood,26/26-28 Park Avenue BURWOOD NSW 2134,,2,1,1,-33.87432,151.101974,9636.182470063399,348.6595236889514
burwood,77/1 Railway Parade BURWOOD NSW 2134,510,1,1,1,-33.87699,151.101318,9705.177184876009,238.72344633310942
burwood,2/67 George Street BURWOOD NSW 2134,510,2,1,,-33.87574,151.1018,9655.588477473388,240.6702871875276
burwood,38 Belmore Street BURWOOD NSW 2134,500,1,1,1,-33.8786926,151.101913,9660.247244074097,260.8260297588454
burwood,14/3-13 Comer Street BURWOOD NSW 2134,500,2,1,1,-33.87184,151.104172,9433.226454015163,575.4354754994744
burwood,38 Belmore Street BURWOOD NSW 2134,500,1,1,1,-33.8790169,151.101837,9669.597399739638,292.02885269040814
burwood,3A/42 Wentworth Road BURWOOD NSW 2134,490,1,1,1,-33.8718376,151.0984,9967.210146927646,767.8167075707577
burwood,308/34 Willee Street BURWOOD NSW 2134,480,1,1,1,-33.8774,151.104,9459.414209304121,42.89010676237598
burwood,7/4 Belmore Street BURWOOD NSW 2134,470,2,1,,-33.87954,151.1058,9308.012485669595,330.03233146059466
burwood,3/90 Burwood Road BURWOOD NSW 2134,460,2,1,,-33.8736267,151.104752,9378.478029276937,384.89300824359333
burwood,5/23 George Street East BURWOOD NSW 2134,,2,1,1,-33.8760223,151.105576,9307.391849614361,190.8318318256778
burwood,2/199 Liverpool Road BURWOOD NSW 2134,450,2,1,1,-33.8859024,151.0965,10239.154273840822,1199.3747519468557
burwood,13/14-16 Park Avenue BURWOOD NSW 2134,420,1,1,,-33.87444,151.102829,9557.266119310782,303.0761982430497
burwood,28/21 Conder Street BURWOOD NSW 2134,410,,1,,-33.87834,151.099426,9887.55671406038,438.77541880347695
burwood,10/21 Conder Street BURWOOD NSW 2134,400,,1,,-33.87834,151.099426,9887.55671406038,438.77541880347695
burwood,4/69 Albert Crescent BURWOOD NSW 2134,,1,1,,-33.87768,151.107925,9098.38711556401,379.6318954098459
burwood,6/24 Burwood Road BURWOOD NSW 2134,340,1,1,,-33.8703423,151.105209,9341.450589125903,750.8636411599994
burwood,1A/16 Brooklyn Street BURWOOD NSW 2134,330,,1,,-33.87941,151.107819,9120.669011897699,449.1164498019041
burwood,2A/7 Ethel Street BURWOOD NSW 2134,320,1,1,1,-33.8829422,151.1051,9408.437209402346,665.9315206828883
burwood,6/65 Albert Crescent BURWOOD NSW 2134,320,1,1,,-33.877758,151.108276,9066.441092661265,413.16847117574673
burwood,2/312 Burwood Road BURWOOD NSW 2134,320,1,1,,-33.88667,151.102219,9728.11379256328,1081.2846375531622
burwood,BURWOOD NSW 2134,290,1,1,,-33.8772,151.1049,9375.174314306541,94.76339609378343
burwood,4/35 George Street BURWOOD NSW 2134,280,1,1,,-33.8760643,151.104584,9399.275375465164,123.82011925829065
burwood,3/15 Victoria Street BURWOOD NSW 2134,270,,1,,-33.8753738,151.109,8988.57259214774,506.22849003573765
burwood,6 Clarence Street BURWOOD NSW 2134,220,1,1,,-33.8808,151.105087,9385.309917755867,433.16769320736074
burwood,6 Clarence Street BURWOOD NSW 2134,180,1,1,,-33.8808,151.105087,9385.309917755867,433.16769320736074
burwood,22A Selborne street BURWOOD NSW 2134,850,3,2,3,-33.87389,151.108368,9044.126554405262,540.1694146454399
burwood,112/36-38 Victoria  Street BURWOOD NSW 2134,750,2,1,1,-33.87544,151.10556,9306.921974956034,233.38123126822603
burwood,47 Railway Cresent BURWOOD NSW 2134,700,2,2,1,-33.8753,151.09877,9934.543794226633,511.47406361867274
burwood,10/16-22 Burwood Rd BURWOOD NSW 2134,580,2,2,1,-33.87007,151.105377,9326.990312442633,783.251293622638
burwood,50 Belmore Street BURWOOD NSW 2134,550,2,1,1,-33.87888,151.1034,9524.306163479743,211.09037883593882
burwood,1/11-13 Clarence Street BURWOOD NSW 2134,550,2,1,1,-33.8800659,151.1049,9395.588893644705,350.0394026363679
burwood,10/37 Meryla St BURWOOD NSW 2134,340,1,,,-33.8727875,151.1051,9346.271946506873,482.76362238521085
waterloo,195/11 Potter Street WATERLOO NSW 2017,1050,3,2,1,-33.89984,151.213715,3041.9761432419937,219.83434044552357
waterloo,Level 4  C421/810 Elizabeth  Street WATERLOO NSW 2017,850,2,2,1,-33.90045,151.20639,3027.3998066567187,473.7598159297341
waterloo,411/8 Sam Sing Street WATERLOO NSW 2017,850,2,2,1,-33.9027939,151.210541,3312.671489383132,375.7520684085894
waterloo,1/84 Kellick Street WATERLOO NSW 2017,760,2,1,1,-33.8999,151.20752,2969.130436684966,359.88146412364495
waterloo,6/64 Wellington Street WATERLOO NSW 2017,680,2,2,1,-33.89861,151.206131,2823.199964622696,494.795233850886
waterloo,132/169 Phillip Street WATERLOO NSW 2017,675,1,1,1,-33.8968353,151.210587,2658.7221306385195,302.22999830314654
waterloo,314/9 Archibald Avenue WATERLOO NSW 2017,630,1,1,1,-33.9015656,151.2096,3167.47872279103,283.9223917412254
waterloo,506/20 Dunkerley Place WATERLOO NSW 2017,620,1,1,1,-33.902195,151.209015,3231.99739733114,372.19034040174176
waterloo,25C/356-368 George Street WATERLOO NSW 2017,575,1,1,,-33.90307,151.203369,3327.620191365998,841.063480804016
waterloo,3/237 Cope Street WATERLOO NSW 2017,1150,3,2,1,-33.8994255,151.201584,2943.659353061989,905.9007064873297
waterloo,176/11 Potter Street WATERLOO NSW 2017,795,2,2,1,-33.89984,151.213715,3041.9761432419937,219.83434044552357
waterloo,133 Botany Road WATERLOO NSW 2017,780,2,2,1,-33.89921,151.200439,2937.0797405529574,1012.2274521369925
waterloo,Level -  209/17 Danks Street WATERLOO NSW 2017,730,1,1,1,-33.8981476,151.211365,2814.1244239493976,147.68452812363722
waterloo,601/22 Danks St WATERLOO NSW 2017,720,2,2,1,-33.89788,151.2128,2811.0807355140064,220.80897396266204
waterloo,153/804 Bourke Street WATERLOO NSW 2017,700,2,2,1,-33.8985825,151.212036,2872.8367635428167,116.58659365460294
waterloo,131/18 Danks Street WATERLOO NSW 2017,650,1,1,,-33.8973045,151.210892,2714.59382153076,245.3499242431674
waterloo,101/18 Amelia Street WATERLOO NSW 2017,600,1,1,,-33.9016037,151.213867,3235.712674461976,329.4540212365988
waterloo,524/850 Bourke  Street WATERLOO NSW 2017,,1,1,,-33.9015236,151.209259,3159.785434706317,299.7423881224577
waterloo,19/52 McEvoy Street WATERLOO NSW 2017,750,2,2,1,-33.9019051,151.202621,3205.039916275115,853.4883452003918
waterloo,803/12 Broome St WATERLOO NSW 2017,1090,3,2,2,-33.8992958,151.2143,2996.4942692170384,271.029044111665
waterloo,511/2 Crystal st WATERLOO NSW 2017,960,3,2,1,-33.8976746,151.213318,2799.87516396283,268.8056383570073
waterloo,410/23 Archibald  Avenue WATERLOO NSW 2017,800,2,2,1,-33.9020081,151.210266,3223.0671882936854,298.7893012665002
waterloo,811 South Dowling St WATERLOO NSW 2017,770,2,2,1,-33.89897,151.214981,2978.271431092979,338.0035883599513
waterloo,818/7 Potter St WATERLOO NSW 2017,760,2,2,1,-33.8997459,151.212845,3014.177619116932,138.87976949849087
waterloo,8 Lachlan Street WATERLOO NSW 2017,760,2,2,1,-33.90066,151.213684,3129.896024579217,250.30428417778992
