Suburb,Address,Price,Bedrooms,Bathrooms,Parkings
haymarket,Level 18/178 Thomas Street HAYMARKET NSW 2000,1200,2,2,2
haymarket,303 Castlereagh Street HAYMARKET NSW 2000,1050,2,2,1
haymarket,Level 32/2 Quay Street HAYMARKET NSW 2000,580,1,1,
haymarket,S909/178 Thomas Street HAYMARKET NSW 2000,,2,2,1
haymarket,Level 33/2 Quay  Street HAYMARKET NSW 2000,920,2,2,1
haymarket,S16.10/178 Thomas Street Street HAYMARKET NSW 2000,990,2,2,1
haymarket,N905/33 Ultimo Road HAYMARKET NSW 2000,790,1,1,1
haymarket,1708/2 Quay Street HAYMARKET NSW 2000,1000,2,2,1
haymarket,1601/6 Little Hay Street HAYMARKET NSW 2000,760,1,1,
haymarket,178 Thomas st HAYMARKET NSW 2000,,2,2,
haymarket,HAYMARKET NSW 2000,1450,2,2,1
haymarket,2311/2 Quay street HAYMARKET NSW 2000,1200,2,2,1
haymarket,1 Steam Mill Lane HAYMARKET NSW 2000,1000,2,2,1
haymarket,416 Pitt HAYMARKET NSW 2000,1000,2,2,
haymarket,2011/53 Tumbalong Boulevard HAYMARKET NSW 2000,990,2,2,1
haymarket,2043/53 Tumbalong Boulevard HAYMARKET NSW 2000,850,1,1,1
haymarket,803/6 Little Hay Street HAYMARKET NSW 2000,750,1,1,
haymarket,6  Little Hay Street HAYMARKET NSW 2000,740,1,1,
haymarket,L26/91 Liverpool Street HAYMARKET NSW 2000,720,1,1,1
haymarket,2022/53 Tumbalong Boulevard HAYMARKET NSW 2000,720,1,1,
haymarket,Lv 15/6 Little Hay St HAYMARKET NSW 2000,710,1,1,
haymarket,302/178 Thomas Street HAYMARKET NSW 2000,600,1,1,
haymarket,2706/2 Quay Street HAYMARKET NSW 2000,600,1,1,
haymarket,2 Quay Street HAYMARKET NSW 2000,580,1,1,
haymarket,107 Quay St  Haymarket  New South Wales  Australia Street HAYMARKET NSW 2000,570,1,1,
haymarket,Carspace 178 Thomas Street HAYMARKET NSW 2000,100,,,2
haymarket,N1206/33 Ultimo Road HAYMARKET NSW 2000,780,1,1,1
haymarket,N8.09/33 ULTIMO ROAD HAYMARKET NSW 2000,715,1,1,
haymarket,N1509/33 Ultimo Rd HAYMARKET NSW 2000,695,1,1,
burwood,273/1 Railway Parade BURWOOD NSW 2134,480,1,1,1
burwood,316 Parramatta Road BURWOOD NSW 2134,620,2,2,1
burwood,28 Waimea Street BURWOOD NSW 2134,595,3,2,1
burwood,43/18-22 Victoria Street BURWOOD NSW 2134,,2,1,1
burwood,19/33 Wilga Street BURWOOD NSW 2134,580,2,2,1
burwood,54 Stanley Street BURWOOD NSW 2134,520,2,1,
burwood,9 Norwood  Street BURWOOD NSW 2134,,4,1,1
burwood,18/28A-32 Belmore Street BURWOOD NSW 2134,,2,2,1
burwood,21/22-24 Park Ave BURWOOD NSW 2134,580,2,1,
burwood,3/41 Railway Crescent BURWOOD NSW 2134,,2,1,1
burwood,14 Wyalong Street BURWOOD NSW 2134,240,,1,
burwood,17/25 Waimea Street BURWOOD NSW 2134,330,1,1,
burwood,7/25 Waimea Street BURWOOD NSW 2134,330,1,1,
burwood,22A Selborne street BURWOOD NSW 2134,850,3,2,3
burwood,112/36-38 Victoria  Street BURWOOD NSW 2134,750,2,1,1
burwood,36-38 Victoria Street BURWOOD NSW 2134,750,2,1,1
burwood,1B/26 Belmore Street BURWOOD NSW 2134,720,3,2,1
burwood,37/26-28 Park Avenue BURWOOD NSW 2134,680,2,1,1
burwood,11/44 Belmore Street BURWOOD NSW 2134,670,2,1,1
burwood,12/18-20 Grantham Street BURWOOD NSW 2134,620,2,2,2
burwood,101/34 Willee Street BURWOOD NSW 2134,600,2,2,1
burwood,4/92 Liverpool Rd Burwood Heights BURWOOD NSW 2134,530,2,2,2
burwood,28/21 Conder Street BURWOOD NSW 2134,410,,1,
burwood,4 Selborne Street BURWOOD NSW 2134,1300,6,2,5
burwood,10A Wyalong Street BURWOOD NSW 2134,1275,5,3,2
burwood,30 Nicholson BURWOOD NSW 2134,1050,5,2,1
burwood,1/3 Railway Pde BURWOOD NSW 2134,950,4,2,1
burwood,53 Liverpool Road BURWOOD NSW 2134,880,4,3,5
burwood,45 Fitzroy Street BURWOOD NSW 2134,825,3,1,2
burwood,9/31  Gordon St BURWOOD NSW 2134,800,3,2,2
burwood,316/1  Railway Pde BURWOOD NSW 2134,,3,2,1
burwood,7/28-32 Mount Pleasant Avenue BURWOOD NSW 2134,,3,2,2
burwood,1D/42 Meryla St BURWOOD NSW 2134,760,2,2,1
burwood,4F/42 Meryla st BURWOOD NSW 2134,760,2,2,2
burwood,4g/42 Meryla ST BURWOOD NSW 2134,750,2,2,1
burwood,602/1-3 Elizabeth Street BURWOOD NSW 2134,,2,2,1
burwood,3B/42-44 Meryla Street BURWOOD NSW 2134,,2,2,1
burwood,5E/42-44 Meryla Street BURWOOD NSW 2134,,2,2,1
burwood,1E/42-44 Meryla Street BURWOOD NSW 2134,,2,2,1
burwood,6-8 Stanley  Street BURWOOD NSW 2134,730,2,2,1
burwood,1G/42 Meryla ST BURWOOD NSW 2134,720,2,2,1
burwood,702/3-7 Burwood Road BURWOOD NSW 2134,700,2,2,1
burwood,9A Rowley Street BURWOOD NSW 2134,,2,1,1
burwood,8/4-8 Wyatt Avenue BURWOOD NSW 2134,690,3,2,1
burwood,B2068/1 Belmore Street BURWOOD NSW 2134,680,2,2,1
burwood,10/60 Belmore Street BURWOOD NSW 2134,680,2,2,1
burwood,205/1 Railway Parade BURWOOD NSW 2134,670,2,2,1
burwood,206/65 Shaftesbury Road BURWOOD NSW 2134,650,2,2,1
burwood,Shop 2/3-7 Burwood Road BURWOOD NSW 2134,650,1,1,
burwood,64 Shaftesbury Road BURWOOD NSW 2134,650,3,1,
burwood,2/5 Shaftsbury  Road BURWOOD NSW 2134,650,3,1,
burwood,6/316 Parramatta Road BURWOOD NSW 2134,620,2,2,1
burwood,189/1 Railway Parade BURWOOD NSW 2134,620,2,1,1
burwood,10/16-22 Burwood Rd BURWOOD NSW 2134,580,2,2,1
burwood,77/28A-32 Belmore Street BURWOOD NSW 2134,,2,2,1
burwood,10/21-23 Clarence Street BURWOOD NSW 2134,565,2,1,2
burwood,B305/1-17 Elsie Street BURWOOD NSW 2134,560,1,1,1
burwood,10/16 Railway Parade BURWOOD NSW 2134,560,2,1,1
burwood,50 Belmore Street BURWOOD NSW 2134,550,2,1,1
burwood,8/3-13 Comer  Street BURWOOD NSW 2134,,2,1,1
burwood,25/26-28 Park Avenue BURWOOD NSW 2134,545,2,1,1
burwood,1/11-13 Clarence Street BURWOOD NSW 2134,550,2,1,1
burwood,17/2-8 Park Avenue BURWOOD NSW 2134,,2,1,1
burwood,2/67 George Street BURWOOD NSW 2134,530,2,1,
burwood,26/26-28 Park Avenue BURWOOD NSW 2134,,2,1,1
burwood,77/1 Railway Parade BURWOOD NSW 2134,510,1,1,1
burwood,38 Belmore Street BURWOOD NSW 2134,500,1,1,1
burwood,14/3-13 Comer Street BURWOOD NSW 2134,500,2,1,1
burwood,38 Belmore Street BURWOOD NSW 2134,500,1,1,1
burwood,3A/42 Wentworth Road BURWOOD NSW 2134,490,1,1,1
burwood,308/34 Willee Street BURWOOD NSW 2134,480,1,1,1
burwood,1/47 Railway Crescent BURWOOD NSW 2134,,1,1,1
burwood,7/4 Belmore Street BURWOOD NSW 2134,470,2,1,
burwood,3/90 Burwood Road BURWOOD NSW 2134,460,2,1,
burwood,5/23 George Street East BURWOOD NSW 2134,,2,1,1
burwood,2/199 Liverpool Road BURWOOD NSW 2134,450,2,1,1
burwood,13/14-16 Park Avenue BURWOOD NSW 2134,420,1,1,
burwood,4/69 Albert Crescent BURWOOD NSW 2134,,1,1,
burwood,6/24 Burwood Road BURWOOD NSW 2134,340,1,1,
burwood,1A/16 Brooklyn Street BURWOOD NSW 2134,330,,1,
burwood,2A/7 Ethel Street BURWOOD NSW 2134,320,1,1,1
burwood,6/65 Albert Crescent BURWOOD NSW 2134,320,1,1,
burwood,2/312 Burwood Road BURWOOD NSW 2134,320,1,1,
burwood,BURWOOD NSW 2134,290,1,1,
burwood,4/35 George Street BURWOOD NSW 2134,280,1,1,
burwood,3/15 Victoria Street BURWOOD NSW 2134,270,,1,
burwood,6 Clarence Street BURWOOD NSW 2134,220,1,1,
burwood,6 Clarence Street BURWOOD NSW 2134,180,1,1,
burwood,47 Railway Cresent BURWOOD NSW 2134,700,2,2,1
burwood,8/51 Shaftesbury Rd BURWOOD NSW 2134,550,2,1,1
burwood,118 Wentworth Road BURWOOD NSW 2134,450,2,1,
burwood,10/37 Meryla St BURWOOD NSW 2134,340,1,,
waterloo,Level 4  C421/810 Elizabeth  Street WATERLOO NSW 2017,850,2,2,1
waterloo,411/8 Sam Sing Street WATERLOO NSW 2017,850,2,2,1
waterloo,132/169 Phillip Street WATERLOO NSW 2017,675,1,1,1
waterloo,506/20 Dunkerley Place WATERLOO NSW 2017,620,1,1,1
waterloo,314/9 Archibald Avenue WATERLOO NSW 2017,600,1,1,
waterloo,101/18 Amelia Street WATERLOO NSW 2017,600,1,1,
waterloo,3/237 Cope Street WATERLOO NSW 2017,1150,3,2,1
waterloo,176/11 Potter Street WATERLOO NSW 2017,795,2,2,1
waterloo,133 Botany Road WATERLOO NSW 2017,780,2,2,1
waterloo,19/52 McEvoy Street WATERLOO NSW 2017,750,2,2,1
waterloo,153/804 Bourke Street WATERLOO NSW 2017,750,2,2,1
waterloo,Level -  209/17 Danks Street WATERLOO NSW 2017,730,1,1,1
waterloo,601/22 Danks St WATERLOO NSW 2017,720,2,2,1
waterloo,131/18 Danks Street WATERLOO NSW 2017,650,1,1,
waterloo,212/9 Archibald Avenue WATERLOO NSW 2017,630,1,1,1
waterloo,524/850 Bourke  Street WATERLOO NSW 2017,,1,1,
waterloo,410/23 Archibald  Avenue WATERLOO NSW 2017,800,2,2,1
waterloo,421/2-4 Powell Street WATERLOO NSW 2017,550,1,1,
waterloo,8/233 Cope Street WATERLOO NSW 2017,510,1,1,
