Suburb,Address,Price,Bedrooms,Bathrooms,Parkings,Latitude,Longitude,Distance_to_CBD,Distance_to_station
haymarket,1009/2 Quay Street HAYMARKET NSW 2000,1300000,2,2,1,-33.88017,151.203217,822.7621159729441,566.3378562363077
haymarket,Darling Square 61 Harbour Street HAYMARKET NSW 2000,,2,1,1,-33.8780479,151.203278,602.6388263231275,531.7252127970972
haymarket,Darling Square Tumbalong Boulevard HAYMARKET NSW 2000,850000,1,1,,-33.8784256,151.201965,699.229418529649,650.9164737470976
haymarket,19E/Darling Street Darling Square HAYMARKET NSW 2000,2400000,2,2,1,-33.87925,151.201111,819.1915008818942,734.6509458836128
haymarket,2 Hay St HAYMARKET NSW 2000,2000000,3,2,1,-33.8783569,151.201447,720.5409817105568,698.9635908259694
haymarket,S1101/178 Thomas St HAYMARKET NSW 2000,1650000,2,2,1,-33.8813362,151.203644,935.5603009868347,587.1916599226349
haymarket,S1101/178 Thomas St HAYMARKET NSW 2000,,2,2,1,-33.88147,151.202652,976.1239264628482,673.602749353649
haymarket,36C/2 Hay Street HAYMARKET NSW 2000,1450000,1,1,1,-33.8783569,151.201447,720.5409817105568,698.9635908259694
haymarket,107/188 Day Street HAYMARKET NSW 2000,1250000,2,2,,-33.87509,151.203873,298.33210628744615,606.4189264356731
haymarket,156/107 Quay Street HAYMARKET NSW 2000,1190000,2,2,1,-33.8823853,151.203278,1056.6824371614298,682.9017675569745
haymarket,14B/Harbour Street  Darling Harbour HAYMARKET NSW 2000,1188000,1,1,,-33.8791924,151.203384,715.5135945313043,525.297343245119
haymarket,LVL 6/NE3 Darling North  Harbour Street Darling Square HAYMARKET NSW 2000,,1,1,1,-33.88092,151.202942,909.7067305480002,621.6281896338135
haymarket,202/6 Little Hay Street HAYMARKET NSW 2000,980000,2,1,,-33.8787,151.204071,643.2221675396912,456.590923379037
haymarket,1305/178 Thomas Street HAYMARKET NSW 2000,820000,1,1,,-33.8813324,151.203644,935.1515958554152,586.9656386419092
haymarket,206/653-659 George Street HAYMARKET NSW 2000,339000,1,1,,-33.87905,151.205154,659.6253556331565,361.10129565879254
haymarket,1207/33 Ultimo Road HAYMARKET NSW 2000,730000,1,1,,-33.88105,151.202438,939.2348683594875,669.9432876553427
haymarket,810/178 Thomas Street HAYMARKET NSW 2000,1580000,2,2,1,-33.88147,151.202652,976.1239264628482,673.602749353649
haymarket,420 Pitt Street HAYMARKET NSW 2000,,2,2,1,-33.8791466,151.207474,676.0937314577478,158.57014695088463
haymarket,565/317 Castlereagh St HAYMARKET NSW 2000,990000,2,2,2,-33.8793449,151.20813,711.1595219081435,123.88515831218461
haymarket,576A and 576B/317 Castlereagh Street HAYMARKET NSW 2000,980000,2,2,1,-33.8793449,151.20813,711.1595219081435,123.88515831218461
haymarket,1603/2 Cunningham Street HAYMARKET NSW 2000,779000,1,2,,-33.8783951,151.206741,583.8287319387732,209.31195438189332
haymarket,403/2 Cunningham Street HAYMARKET NSW 2000,490000,1,1,,-33.8783951,151.206741,583.8287319387732,209.31195438189332
haymarket,604/2 Cunningham Street HAYMARKET NSW 2000,425000,1,1,,-33.8783951,151.206741,583.8287319387732,209.31195438189332
haymarket,33 Ultimo Road HAYMARKET NSW 2000,,,,1,-33.88105,151.202438,939.2348683594875,669.9432876553427
burwood,16/26 Belmore Street BURWOOD NSW 2134,,2,1,1,-33.8794823,151.104034,9470.46181782923,273.0982037746613
burwood,203/10-12 Burwood Road BURWOOD NSW 2134,,2,2,1,-33.86983,151.105484,9318.126464228848,811.2082976103186
burwood,3/27 Wyatt Avenue BURWOOD NSW 2134,,4,3,3,-33.8844,151.102951,9625.485427161224,822.9574567912439
burwood,208/258 Burwood  Road BURWOOD NSW 2134,,2,2,1,-33.8805161,151.103378,9540.057036561566,390.452604515276
burwood,1078/1 Belmore Street BURWOOD NSW 2134,,2,2,1,-33.878994,151.106339,9253.885633356067,314.33519207098976
burwood,322/1 Railway Parade BURWOOD NSW 2134,,2,1,1,-33.8771,151.102463,9599.886727549343,133.03871116305993
burwood,14/3 Railway Parade BURWOOD NSW 2134,820000,2,2,1,-33.877,151.101959,9645.97764862279,179.409676836557
burwood,A203/96 Liverpool Road BURWOOD NSW 2134,799000,2,2,1,-33.88823,151.102112,9765.938065784254,1254.0379439574892
burwood,16/1-9 Mt Pleasant Avenue BURWOOD NSW 2134,,2,2,1,-33.8744926,151.0982,9985.582972674412,597.2240517374688
burwood,4/50A Wentworth Road BURWOOD NSW 2134,,2,1,,-33.87234,151.098587,9949.217223830738,715.0126601322776
burwood,3/25 Clarence Street BURWOOD NSW 2134,,2,1,1,-33.8800354,151.103729,9503.300322419887,334.52376092504977
burwood,202/96 Liverpool Road BURWOOD NSW 2134,579000,1,1,1,-33.88823,151.102112,9765.938065784254,1254.0379439574892
burwood,19 Shaftesbury Road BURWOOD NSW 2134,,3,1,2,-33.8710442,151.108063,9075.15900460432,766.9799830302385
burwood,27-29 Burwood Road BURWOOD NSW 2134,,2,2,1,-33.8710747,151.10463,9392.602600381637,663.2308448777866
burwood,120-124 Wentworth Road BURWOOD NSW 2134,,2,2,1,-33.8786926,151.09729,10087.1339533154,638.7914401266131
burwood,2/42-44 Meryla Street BURWOOD NSW 2134,,2,2,1,-33.873188,151.105316,9326.175907785384,445.12895275047936
burwood,702/36-38 Victoria Street BURWOOD NSW 2134,,2,2,1,-33.87544,151.10556,9306.921974956034,233.38123126822603
burwood,264/1 Railway Parade BURWOOD NSW 2134,730000,2,1,1,-33.8771,151.102463,9599.886727549343,133.03871116305993
burwood,64 Lucas Road BURWOOD NSW 2134,,2,1,1,-33.8735542,151.1113,8772.616172194937,785.5030190546455
burwood,G02/24a-26 Gordon St BURWOOD NSW 2134,,2,2,2,-33.874897,151.099426,9872.916145071978,476.21757647109
burwood,302/24a-26 Gordon St BURWOOD NSW 2134,,2,2,2,-33.874897,151.099426,9872.916145071978,476.21757647109
burwood,G03/24a-26 Gordon St BURWOOD NSW 2134,,2,2,2,-33.874897,151.099426,9872.916145071978,476.21757647109
burwood,104/26 gordon st BURWOOD NSW 2134,920000,2,2,1,-33.87488,151.099411,9874.268006646922,478.3579378693663
burwood,9 11 13 15 Neich Parade Burwood BURWOOD NSW 2134,,,,,-33.869606,151.103775,9477.139987496439,822.7509046812579
