Suburb,Address,Price,Bedrooms,Bathrooms,Parkings
haymarket,1009/2 Quay Street HAYMARKET NSW 2000,,2,2,1
haymarket,2 Hay St HAYMARKET NSW 2000,2000000,3,2,1
haymarket,Darling Square 61 Harbour Street HAYMARKET NSW 2000,,2,1,1
haymarket,Darling Square Tumbalong Boulevard HAYMARKET NSW 2000,850000,1,1,
haymarket,LVL 6/NE3 Darling North  Harbour Street Darling Square HAYMARKET NSW 2000,,1,1,1
haymarket,206/653-659 George Street HAYMARKET NSW 2000,339000,1,1,
haymarket,19E/Darling Street Darling Square HAYMARKET NSW 2000,2400000,2,2,1
haymarket,S1101/178 Thomas St HAYMARKET NSW 2000,1650000,2,2,1
haymarket,S1101/178 Thomas St HAYMARKET NSW 2000,,2,2,1
haymarket,36C/2 Hay Street HAYMARKET NSW 2000,1450000,1,1,1
haymarket,107/188 Day Street HAYMARKET NSW 2000,1250000,2,2,
haymarket,156/107 Quay Street HAYMARKET NSW 2000,1190000,2,2,1
haymarket,14B/Harbour Street  Darling Harbour HAYMARKET NSW 2000,1188000,1,1,
haymarket,202/6 Little Hay Street HAYMARKET NSW 2000,980000,2,1,
haymarket,1305/178 Thomas Street HAYMARKET NSW 2000,820000,1,1,
haymarket,1207/33 Ultimo Road HAYMARKET NSW 2000,730000,1,1,
haymarket,33 Ultimo Road HAYMARKET NSW 2000,,,,1
haymarket,810/178 Thomas Street HAYMARKET NSW 2000,1580000,2,2,1
haymarket,420 Pitt Street HAYMARKET NSW 2000,,2,2,1
haymarket,565/317 Castlereagh St HAYMARKET NSW 2000,990000,2,2,2
haymarket,576A and 576B/317 Castlereagh Street HAYMARKET NSW 2000,980000,2,2,1
haymarket,1603/2 Cunningham Street HAYMARKET NSW 2000,779000,1,2,
haymarket,403/2 Cunningham Street HAYMARKET NSW 2000,490000,1,1,
haymarket,604/2 Cunningham Street HAYMARKET NSW 2000,425000,1,1,
burwood,16/26 Belmore Street BURWOOD NSW 2134,,2,1,1
burwood,203/10-12 Burwood Road BURWOOD NSW 2134,,2,2,1
burwood,19 Shaftesbury Road BURWOOD NSW 2134,,3,1,2
burwood,3/27 Wyatt Avenue BURWOOD NSW 2134,,4,3,3
burwood,208/258 Burwood  Road BURWOOD NSW 2134,,2,2,1
burwood,322/1 Railway Parade BURWOOD NSW 2134,,2,1,1
burwood,14/3 Railway Parade BURWOOD NSW 2134,820000,2,2,1
burwood,Level 9  114/1 Railway Parade BURWOOD NSW 2134,,2,2,1
burwood,A203/96 Liverpool Road BURWOOD NSW 2134,799000,2,2,1
burwood,16/1-9 Mt Pleasant Avenue BURWOOD NSW 2134,,2,2,1
burwood,4/50A Wentworth Road BURWOOD NSW 2134,,2,1,
burwood,3/25 Clarence Street BURWOOD NSW 2134,,2,1,1
burwood,202/96 Liverpool Road BURWOOD NSW 2134,579000,1,1,1
burwood,701/1-3 Elizabeth  Street BURWOOD NSW 2134,,2,2,1
burwood,1078/1 Belmore Street BURWOOD NSW 2134,,2,2,1
burwood,27-29 Burwood Road BURWOOD NSW 2134,,2,2,1
burwood,120-124 Wentworth Road BURWOOD NSW 2134,,2,2,1
burwood,2/42-44 Meryla Street BURWOOD NSW 2134,,2,2,1
burwood,702/36-38 Victoria Street BURWOOD NSW 2134,,2,2,1
burwood,264/1 Railway Parade BURWOOD NSW 2134,730000,2,1,1
burwood,273/1 Railway Parade BURWOOD NSW 2134,600000,1,1,1
burwood,9/66-70 Stanley Street BURWOOD NSW 2134,,3,2,2
burwood,4/66-70 Stanley Street BURWOOD NSW 2134,1660000,3,2,2
burwood,3 Bed/2A-8 Burwood  Road BURWOOD NSW 2134,1330000,3,2,1
burwood,5/66-70 Stanley Street BURWOOD NSW 2134,,2,2,1
burwood,B903/39-47 Belmore  Street BURWOOD NSW 2134,,2,2,1
burwood,G02/24a-26 Gordon St BURWOOD NSW 2134,,2,2,2
burwood,G03/24a-26 Gordon St BURWOOD NSW 2134,,2,2,2
burwood,2 Bed/2A-8 Burwood  Road BURWOOD NSW 2134,900000,2,2,1
burwood,201/96 Liverpool Road BURWOOD NSW 2134,770000,2,2,1
burwood,1 Bed/2A-8 Burwood  Road BURWOOD NSW 2134,690000,1,1,1
burwood,402/96 Liverpool Road BURWOOD NSW 2134,609000,1,1,1
burwood,304/38 Victoria  Street BURWOOD NSW 2134,599000,1,1,1
burwood,106/36-38 Victoria Street BURWOOD NSW 2134,550000,1,1,1
burwood,19/35 George Street BURWOOD NSW 2134,350000,,1,
burwood,9 11 13 15 Neich Parade Burwood BURWOOD NSW 2134,,,,
burwood,56-60 Burwood Road BURWOOD NSW 2134,,,,
burwood,BURWOOD NSW 2134,,26,18,
burwood,10 Boronia Ave BURWOOD NSW 2134,,7,3,5
burwood,14 Wallace Street BURWOOD NSW 2134,,4,3,2
burwood,27 Selborne Street BURWOOD NSW 2134,2598000,6,2,2
burwood,108 wentworth rd BURWOOD NSW 2134,,4,2,2
burwood,4 George Street BURWOOD NSW 2134,,3,1,2
burwood,2502/2 Mary  Street BURWOOD NSW 2134,,4,4,2
burwood,31A Angelo Street BURWOOD NSW 2134,1800000,7,2,8
burwood,2/66 Stanley Street BURWOOD NSW 2134,1688500,3,2,2
burwood,7/66 Stanley Street BURWOOD NSW 2134,1668000,3,2,2
burwood,19 Lucas Road BURWOOD NSW 2134,,3,2,2
burwood,66 stanley st BURWOOD NSW 2134,,3,3,2
burwood,37 Nicholson Street BURWOOD NSW 2134,1600000,3,2,2
burwood,11 Archer Street BURWOOD NSW 2134,1580000,3,1,
burwood,3 Bed/39-47 Belmore Street BURWOOD NSW 2134,,3,2,2
burwood,14 Britannia Ave BURWOOD NSW 2134,,2,1,1
burwood,1-4/5 Hornsey Street BURWOOD NSW 2134,1550000,3,2,1
burwood,BURWOOD NSW 2134,,3,2,2
burwood,6 Stuart Street BURWOOD NSW 2134,1450000,3,1,2
burwood,3 Bed/7 Deane St  1-3 Marmaduke Street BURWOOD NSW 2134,,3,2,2
burwood,29 George Street BURWOOD NSW 2134,,3,2,1
burwood,A1207/1-17 Elsie Street BURWOOD NSW 2134,1250000,3,2,2
burwood,68-72 Railway Parade BURWOOD NSW 2134,1141000,3,2,2
burwood,503/8 Wynne Avenue BURWOOD NSW 2134,1000000,2,2,1
burwood,5-13 Carilla Street BURWOOD NSW 2134,1100000,2,2,1
burwood,503/29 George Street BURWOOD NSW 2134,1030000,2,2,1
burwood,503/29 George Street BURWOOD NSW 2134,1030000,2,2,1
burwood,C708/39-47 Belmore  Street BURWOOD NSW 2134,,2,2,1
burwood,G.3/10 Gladstone Street BURWOOD NSW 2134,1030000,2,2,1
burwood,6/10 Gladstone St BURWOOD NSW 2134,1010000,2,2,1
burwood,BURWOOD NSW 2134,1000000,2,2,1
burwood,Level 25-27/7 Deane Street  Corner Of  Marmaduke Street BURWOOD NSW 2134,,2,2,1
burwood,17/42 Meryla St BURWOOD NSW 2134,990000,2,2,1
burwood,301/19 Burwood Road BURWOOD NSW 2134,978000,2,2,1
burwood,XXX Belmore Street BURWOOD NSW 2134,,2,2,1
burwood,C808/39-47 Belmore Street BURWOOD NSW 2134,,2,2,1
burwood,Mary Street BURWOOD NSW 2134,,2,2,1
burwood,68-72 Railway Parade BURWOOD NSW 2134,899000,2,2,1
burwood,68-72 Railway Parade BURWOOD NSW 2134,880000,2,2,1
burwood,L21/7 Deane Street BURWOOD NSW 2134,,2,1,1
burwood,203/3-7 Burwood Road BURWOOD NSW 2134,,2,2,1
burwood,B04 2 Bed/96 Liverpool Road BURWOOD NSW 2134,,2,2,1
burwood,1 RAILWAY PARADE BURWOOD NSW 2134,,2,2,1
burwood,89/1 Railway Pde BURWOOD NSW 2134,,2,2,1
burwood,4.5/10 Gladstone Street BURWOOD NSW 2134,800000,1,1,1
burwood,8/10 Gladstone St BURWOOD NSW 2134,,1,1,1
burwood,317/1 Railway Parade BURWOOD NSW 2134,795000,2,2,1
burwood,189/1 railway parade BURWOOD NSW 2134,,2,1,1
burwood,48/16-22 Burwood Road BURWOOD NSW 2134,,2,2,1
burwood,203/96 Liverpool Road BURWOOD NSW 2134,770000,2,2,1
burwood,7018/3 belmore street BURWOOD NSW 2134,750000,1,1,1
burwood,1501/7 Deane Street BURWOOD NSW 2134,,1,1,1
burwood,11/10 Gladstone St BURWOOD NSW 2134,750000,1,1,1
burwood,3/10 Gladstone St BURWOOD NSW 2134,740000,1,1,1
burwood,1305C/1-17 Elsie Street BURWOOD NSW 2134,700000,1,1,1
burwood,A602/1-17 Elsie Street BURWOOD NSW 2134,,1,1,1
burwood,XXXX Belmore Street BURWOOD NSW 2134,,1,1,1
burwood,47 belmore st BURWOOD NSW 2134,670000,1,1,1
burwood,50A Burwood Road BURWOOD NSW 2134,,1,1,1
burwood,10-12 Burwood Road BURWOOD NSW 2134,,1,1,1
burwood,74/1 Railway Parade BURWOOD NSW 2134,,1,1,1
burwood,246/1 Railway Parade BURWOOD NSW 2134,,1,1,1
burwood,36-38 Victoria BURWOOD NSW 2134,605000,1,1,1
burwood,52 Burwood Road BURWOOD NSW 2134,,1,1,1
burwood,120-124 Wentworth Road BURWOOD NSW 2134,,1,1,1
burwood,174/1 railway parade BURWOOD NSW 2134,,1,1,1
burwood,5/81 Liverpool Road BURWOOD NSW 2134,599000,1,1,1
burwood,6/81 Liverpool Road BURWOOD NSW 2134,599000,1,1,1
burwood,243/1 Railway parade BURWOOD NSW 2134,,1,1,1
burwood,52 Burwood Road BURWOOD NSW 2134,,2,2,1
burwood,103/36-38 Victoria Street BURWOOD NSW 2134,599990,1,1,1
burwood,3/199 Liverpool Road BURWOOD NSW 2134,560000,2,1,1
burwood,28/81 Liverpool Road BURWOOD NSW 2134,560000,,1,1
burwood,105/36-38 Victoria Street BURWOOD NSW 2134,550000,1,1,1
burwood,52 Burwood Road BURWOOD NSW 2134,,2,2,1
burwood,41/1 railway parade BURWOOD NSW 2134,,,1,1
burwood,Xx Corner Of Deane Street And Marmaduke Street BURWOOD NSW 2134,,,1,
burwood,31 Albert Crescent BURWOOD NSW 2134,,4,2,2
burwood,36-38   Victoria St BURWOOD NSW 2134,,2,2,1
burwood,36-38 Victoria St BURWOOD NSW 2134,,2,2,1
burwood,2 Mary St BURWOOD NSW 2134,,1,1,1
burwood,36 Victoria St E BURWOOD NSW 2134,580000,1,1,1
burwood,36-38 Victoria Street BURWOOD NSW 2134,,1,1,1
burwood,3 Railway Pde BURWOOD NSW 2134,,3,2,2
waterloo,804/5 Potter Street WATERLOO NSW 2017,,2,2,1
waterloo,603/11A Lachlan Street WATERLOO NSW 2017,825000,2,2,1
waterloo,344/9 Crystal Street WATERLOO NSW 2017,800000,2,2,1
waterloo,113/18 Danks Street WATERLOO NSW 2017,,1,1,
waterloo,BG13/810 Elizabeth Street WATERLOO NSW 2017,1450000,3,2,2
waterloo,317/9 Crystal Street WATERLOO NSW 2017,950000,2,2,1
waterloo,521/7 Potter Street WATERLOO NSW 2017,850000,2,2,1
waterloo,201/788-822 Bourke Street (Entry at 806) WATERLOO NSW 2017,840000,2,2,1
waterloo,26/1 Thread Lane WATERLOO NSW 2017,,2,1,1
waterloo,433/28 Danks Street WATERLOO NSW 2017,780000,2,1,1
waterloo,B219/810-822 Elizabeth Street WATERLOO NSW 2017,650000,1,1,
waterloo,E503/3 Hunter Street WATERLOO NSW 2017,649000,1,1,
waterloo,10506/5 Sam Sing Street WATERLOO NSW 2017,600000,1,1,
waterloo,109/804 Bourke Street WATERLOO NSW 2017,,1,1,
waterloo,16 Kensington Street WATERLOO NSW 2017,,3,2,2
waterloo,17/1 Danks Street WATERLOO NSW 2017,995000,2,1,1
waterloo,D105/10 Lachlan Street WATERLOO NSW 2017,,2,2,1
waterloo,10604/5 Sam Sing Street WATERLOO NSW 2017,1100000,2,2,1
waterloo,5.11/830 Elizabeth  Street WATERLOO NSW 2017,1800000,2,2,1
waterloo,Lvl 5  522/347 George Street  WATERLOO NSW 2017,,2,2,1
waterloo,2/52-54 McEvoy Street WATERLOO NSW 2017,,2,2,1
waterloo,331/268 Pitt Street WATERLOO NSW 2017,,1,1,1
waterloo,9/8 Sam Sing Street WATERLOO NSW 2017,,1,2,
waterloo,315/5 Potter Street WATERLOO NSW 2017,950000,2,2,1
waterloo,318/9 Crystal St WATERLOO NSW 2017,880000,2,2,1
waterloo,52-54 O’dea AVE WATERLOO NSW 2017,1160000,2,2,1
waterloo,40 McEvoy Street WATERLOO NSW 2017,899000,2,2,1
waterloo,515/40-46 McEvoy Street WATERLOO NSW 2017,849000,2,2,1
waterloo,Lvl 5  515/347 George Street  WATERLOO NSW 2017,849000,2,2,1
waterloo,WATERLOO NSW 2017,,11,8,2
waterloo,WATERLOO NSW 2017,,3,2,1
waterloo,Lot 85/13 - 17 Lachlan Street WATERLOO NSW 2017,1780000,3,2,1
waterloo,Lot 91/13-17 Lachlan Street WATERLOO NSW 2017,1565000,3,2,2
waterloo,6/8 Archibald Ave WATERLOO NSW 2017,,3,3,2
waterloo,169 Botany Road WATERLOO NSW 2017,1428000,3,2,1
waterloo,C601/52-54 O'Dea Avenue WATERLOO NSW 2017,,3,2,2
waterloo,52-54 O’dea AVE WATERLOO NSW 2017,,3,2,2
waterloo,10103/5  sam sing street WATERLOO NSW 2017,1400000,3,2,2
waterloo,BG04/34 McEvoy Street WATERLOO NSW 2017,1000000,3,2,1
waterloo,1-9 Lachlan St WATERLOO NSW 2017,,2,2,1
waterloo,C801/1 Lachlan WATERLOO NSW 2017,1200000,2,2,1
waterloo,Elizaberth street WATERLOO NSW 2017,1180000,2,2,1
waterloo,Lot 95/13 – 17 Lachlan Street WATERLOO NSW 2017,1170000,2,2,1
waterloo,C3.05/52-54 O'dea Avenue WATERLOO NSW 2017,1150000,2,2,1
waterloo,C2.09/1-9 Lachlan Street WATERLOO NSW 2017,,2,2,1
waterloo,602/8 Sam Sing Street WATERLOO NSW 2017,1100000,2,2,1
waterloo,C209/1-9 Lachlan St WATERLOO NSW 2017,1100000,2,2,1
waterloo,O'Dea Ave WATERLOO NSW 2017,1050000,2,2,1
waterloo,217/92 Cope Street WATERLOO NSW 2017,1050000,3,2,1
waterloo,332/9 Crystal Street WATERLOO NSW 2017,,3,2,2
waterloo,34/7 Crystal Street WATERLOO NSW 2017,,3,2,1
waterloo,52-54 O’dea AVE WATERLOO NSW 2017,,2,2,1
waterloo,A307/1-9 Lachlan Street WATERLOO NSW 2017,1030000,2,2,1
waterloo,19 Kensington Street WATERLOO NSW 2017,,2,1,
waterloo,C5.01/1-9 Lachlan WATERLOO NSW 2017,1100000,2,2,1
waterloo,310/8 Sam Sing Street WATERLOO NSW 2017,1000000,2,2,1
waterloo,10601/5 Sam Sing Street WATERLOO NSW 2017,998000,2,2,1
waterloo,52-54 O’dea AVE WATERLOO NSW 2017,,2,2,1
waterloo,501/20 Dunkerley Place WATERLOO NSW 2017,970000,2,2,1
waterloo,WATERLOO NSW 2017,959000,2,2,1
waterloo,52 O'Dea ave WATERLOO NSW 2017,,2,2,1
waterloo,403/11a Lachlan Street WATERLOO NSW 2017,950000,2,2,1
waterloo,257/10 Lachlan St WATERLOO NSW 2017,,2,2,1
waterloo,111/804 Bourke St WATERLOO NSW 2017,928000,2,2,1
waterloo,Level 7  309/8 Lachlan Street WATERLOO NSW 2017,,2,2,1
waterloo,1102/6 Lachlan Street WATERLOO NSW 2017,920000,2,2,1
waterloo,169 Botany Road WATERLOO NSW 2017,913000,2,2,1
waterloo,227/806 Bourke Street WATERLOO NSW 2017,899000,2,2,1
waterloo,15/8 Allen Street WATERLOO NSW 2017,,2,1,1
waterloo,275/9 Crystal WATERLOO NSW 2017,8900002,2,2,1
waterloo,133-141 Botany Rd WATERLOO NSW 2017,,2,2,1
waterloo,120/804 Bourke Street WATERLOO NSW 2017,890000,2,2,1
waterloo,522/40-46 McEvoy Street WATERLOO NSW 2017,,2,2,1
waterloo,924/2-4 Lachlan Street WATERLOO NSW 2017,,2,2,1
waterloo,522/7 Potter Street WATERLOO NSW 2017,880000,2,2,1
waterloo,503/6 Lachlan Street WATERLOO NSW 2017,850000,2,2,1
waterloo,351 George Street WATERLOO NSW 2017,,2,2,
waterloo,Lot 40/13 - 17 Lachlan Street WATERLOO NSW 2017,820000,1,1,1
waterloo,277/9 Crystal Street WATERLOO NSW 2017,835000,2,2,1
waterloo,52-54 O’dea AVE WATERLOO NSW 2017,,1,1,1
waterloo,WATERLOO NSW 2017,785000,1,1,
waterloo,Lot 124 /13 – 17 Lachlan Street WATERLOO NSW 2017,785000,1,1,
waterloo,C606/1 Lachlan Street WATERLOO NSW 2017,775000,1,1,1
waterloo,820/7 Potter Street WATERLOO NSW 2017,768000,1,1,1
waterloo,A605/1-9 Lachlan Street WATERLOO NSW 2017,760000,1,1,
waterloo,A205/1 Lachilan street WATERLOO NSW 2017,750000,1,1,
waterloo,52 O'Dea ave WATERLOO NSW 2017,,1,1,1
waterloo,52 O'Dea ave WATERLOO NSW 2017,,3,2,1
waterloo,O'Dea Ave WATERLOO NSW 2017,740000,1,1,
waterloo,Lot 21/13-17 Lachlan Street WATERLOO NSW 2017,685000,1,1,
